127.0.0.1 - - [08/Feb/2022:00:12:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/index.jsp HTTP/1.1" 200 14497
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/fontello.css HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/fonts/icon-7-stroke/css/pe-icon-7-stroke.css HTTP/1.1" 200 8710
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/fonts/icon-7-stroke/css/helper.css HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/font-awesome.min.css HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/normalize.css HTTP/1.1" 200 15336
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/price-range.css HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/bootstrap-select.min.css HTTP/1.1" 200 7019
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/icheck.min_all.css HTTP/1.1" 200 14799
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/style.css HTTP/1.1" 200 68482
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/owl.transitions.css HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15414
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/responsive.css HTTP/1.1" 200 15866
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/jquery-1.10.2.min.js HTTP/1.1" 200 93107
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/css/owl.theme.css HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/bootstrap-select.min.js HTTP/1.1" 200 31453
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/bootstrap-hover-dropdown.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/easypiechart.min.js HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/owl.carousel.min.js HTTP/1.1" 200 52920
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/wow.js HTTP/1.1" 200 13545
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/jquery.ba-cond.min.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/main.js HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/price-range.js HTTP/1.1" 200 10882
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/jquery.slitslider.js HTTP/1.1" 200 15593
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/js/icheck.min.js HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/img/drinklogo2.jpeg HTTP/1.1" 200 8647
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/img/slide1/cafepic3.png HTTP/1.1" 200 2251906
0:0:0:0:0:0:0:1 - - [08/Feb/2022:00:12:43 +0900] "GET /drink0208_F4/assets/img/slide1/cafepic2.png HTTP/1.1" 200 2892438
